NAFRev1,18.1Z,Fabrication de vêtements en cuir
NAFRev1,18.2A,Fabrication de vêtements de travail
NAFRev1,18.2C,Fabrication de vêtements sur mesure
NAFRev1,18.2D,Fabrication de vêtements de dessus pour hommes et garçonnets
NAFRev1,18.2E,Fabrication de vêtements de dessus pour femmes et fillettes
NAFRev1,18.2G,Fabrication de vêtements de dessous
NAFRev1,18.2J,Fabrication d'autres vêtements et accessoires
NAFRev1,18.3Z,Industrie des fourrures
NAFRev1,19.1Z,Apprêt et tannage des cuirs
NAFRev1,19.2Z,Fabrication d'articles de voyage et de maroquinerie
NAFRev1,19.3Z,Fabrication de chaussures
NAFRev1,20.1A,Sciage et rabotage du bois
NAFRev1,20.1B,Imprégnation du bois
NAFRev1,20.2Z,Fabrication de panneaux de bois
NAFRev1,20.3Z,Fabrication de charpentes et de menuiseries
NAFRev1,20.4Z,Fabrication d'emballages en bois
NAFRev1,20.5A,Fabrication d'objets divers en bois
NAFRev1,20.5C,"Fabrication d'objets en liège, vannerie ou sparterie"
NAFRev1,21.1A,Fabrication de pâte à papier
NAFRev1,21.1C,Fabrication de papier et de carton
NAFRev1,21.2A,Industrie du carton ondulé
NAFRev1,21.2B,Fabrication de cartonnages
NAFRev1,21.2C,Fabrication d'emballages en papier
NAFRev1,21.2E,Fabrication d'articles en papier à usage sanitaire ou domestique
NAFRev1,21.2G,Fabrication d'articles de papeterie
NAFRev1,21.2J,Fabrication de papiers peints
NAFRev1,21.2L,Fabrication d'autres articles en papier ou en carton
NAFRev1,22.1A,Edition de livres
NAFRev1,22.1C,Edition de journaux
NAFRev1,22.1E,Edition de revues et périodiques
NAFRev1,22.1G,Edition d'enregistrements sonores
NAFRev1,22.1J,Autres activités d'édition
NAFRev1,22.2A,Imprimerie de journaux
NAFRev1,22.2C,Autre imprimerie (labeur)
NAFRev1,22.2E,Reliure
NAFRev1,22.2G,Activités de pré-presse
NAFRev1,22.2J,Activités graphiques auxiliaires
NAFRev1,22.3A,Reproduction d'enregistrements sonores
NAFRev1,22.3C,Reproduction d'enregistrements vidéo
NAFRev1,22.3E,Reproduction d'enregistrements informatiques
NAFRev1,23.1Z,Cokéfaction
NAFRev1,23.2Z,Raffinage de pétrole
NAFRev1,23.3Z,Elaboration et transformation de matières nucléaires
NAFRev1,24.1A,Fabrication de gaz industriels
NAFRev1,24.1C,Fabrication de colorants et de pigments
NAFRev1,24.1E,Fabrication d'autres produits chimiques inorganiques de base
NAFRev1,24.1G,Fabrication d'autres produits chimiques organiques de base
NAFRev1,24.1J,Fabrication de produits azotés et d'engrais
NAFRev1,24.1L,Fabrication de matières plastiques de base
NAFRev1,24.1N,Fabrication de caoutchouc synthétique
NAFRev1,24.2Z,Fabrication de produits agrochimiques
NAFRev1,24.3Z,Fabrication de peintures et vernis
NAFRev1,24.4A,Fabrication de produits pharmaceutiques de base
NAFRev1,24.4C,Fabrication de médicaments
NAFRev1,24.4D,Fabrication d'autres produits pharmaceutiques
NAFRev1,24.5A,"Fabrication de savons, détergents et produits d'entretien"
NAFRev1,24.5C,Fabrication de parfums et de produits pour la toilette
NAFRev1,24.6A,Fabrication de produits explosifs
NAFRev1,24.6C,Fabrication de colles et gélatines
NAFRev1,24.6E,Fabrication d'huiles essentielles
NAFRev1,24.6G,Fabrication de produits chimiques pour la photographie
NAFRev1,24.6J,Fabrication de supports de données
NAFRev1,24.6L,Fabrication de produits chimiques à usage industriel
NAFRev1,24.7Z,Fabrication de fibres artificielles ou synthétiques
NAFRev1,25.1A,Fabrication de pneumatiques
NAFRev1,25.1C,Rechapage de pneumatiques
NAFRev1,25.1E,Fabrication d'autres articles en caoutchouc
NAFRev1,25.2A,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
NAFRev1,25.2C,Fabrication d'emballages en matières plastiques
NAFRev1,25.2E,Fabrication d'éléments en matières plastiques pour la construction
NAFRev1,25.2G,Fabrication d'articles divers en matières plastiques
NAFRev1,25.2H,Fabrication de pièces techniques en matières plastiques
NAFRev1,26.1A,Fabrication de verre plat
NAFRev1,26.1C,Façonnage et transformation du verre plat
NAFRev1,26.1E,Fabrication de verre creux
NAFRev1,26.1G,Fabrication de fibres de verre
NAFRev1,26.1J,Fabrication et façonnage d'articles techniques en verre
NAFRev1,26.1K,Fabrication d'isolateurs en verre
NAFRev1,26.2A,Fabrication d'articles céramiques à usage domestique ou ornemental
NAFRev1,26.2C,Fabrication d'appareils sanitaires en céramique
NAFRev1,26.2E,Fabrication d'isolateurs et pièces isolantes en céramique
NAFRev1,26.2G,Fabrication d'autres produits céramiques à usage technique
NAFRev1,26.2J,Fabrication d'autres produits céramiques
NAFRev1,26.2L,Fabrication de produits céramiques réfractaires
NAFRev1,26.3Z,Fabrication de carreaux en céramique
NAFRev1,26.4A,Fabrication de briques
NAFRev1,26.4B,Fabrication de tuiles
