NAFRTev2,Code,Libellé
NAFRTev2,01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
NAFRTev2,01.12Z,Culture du riz
NAFRTev2,01.13Z,"Culture de légumes, de melons, de racines et de tubercules"
NAFRTev2,01.14Z,Culture de la canne à sucre
NAFRTev2,01.15Z,Culture du tabac
NAFRTev2,01.16Z,Culture de plantes à fibres
NAFRTev2,01.19Z,Autres cultures non permanentes
NAFRTev2,01.21Z,Culture de la vigne
NAFRTev2,01.22Z,Culture de fruits tropicaux et subtropicaux
NAFRTev2,01.23Z,Culture d'agrumes
NAFRTev2,01.24Z,Culture de fruits à pépins et à noyau
NAFRTev2,01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
NAFRTev2,01.26Z,Culture de fruits oléagineux
NAFRTev2,01.27Z,Culture de plantes à boissons
NAFRTev2,01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
NAFRTev2,01.29Z,Autres cultures permanentes
NAFRTev2,01.30Z,Reproduction de plantes
NAFRTev2,01.41Z,Élevage de vaches laitières
NAFRTev2,01.42Z,Élevage d'autres bovins et de buffles
NAFRTev2,01.43Z,Élevage de chevaux et d'autres équidés
NAFRTev2,01.44Z,Élevage de chameaux et d'autres camélidés
NAFRTev2,01.45Z,Élevage d'ovins et de caprins
NAFRTev2,01.46Z,Élevage de porcins
NAFRTev2,01.47Z,Élevage de volailles
NAFRTev2,01.49Z,Élevage d'autres animaux
NAFRTev2,01.50Z,Culture et élevage associés
NAFRTev2,01.61Z,Activités de soutien aux cultures
NAFRTev2,01.62Z,Activités de soutien à la production animale
NAFRTev2,01.63Z,Traitement primaire des récoltes
NAFRTev2,01.64Z,Traitement des semences
NAFRTev2,01.70Z,"Chasse, piégeage et services annexes"
NAFRTev2,02.10Z,Sylviculture et autres activités forestières
NAFRTev2,02.20Z,Exploitation forestière
NAFRTev2,02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage
NAFRTev2,02.40Z,Services de soutien à l'exploitation forestière
NAFRTev2,03.11Z,Pêche en mer
NAFRTev2,03.12Z,Pêche en eau douce
NAFRTev2,03.21Z,Aquaculture en mer
NAFRTev2,03.22Z,Aquaculture en eau douce
NAFRTev2,05.10Z,Extraction de houille
NAFRTev2,05.20Z,Extraction de lignite
NAFRTev2,06.10Z,Extraction de pétrole brut
NAFRTev2,06.20Z,Extraction de gaz naturel
NAFRTev2,07.10Z,Extraction de minerais de fer
NAFRTev2,07.21Z,Extraction de minerais d'uranium et de thorium
NAFRTev2,07.29Z,Extraction d'autres minerais de métaux non ferreux
NAFRTev2,08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
NAFRTev2,08.12Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
