NAP,17.13,Fabrication de produits chimiques par électrolyse ou électrothermie
NAP,17.14,Fabrication de gaz comprimés
NAP,17.15,Fabrication d'opacifiants minéraux compositions et couleurs pour émaux
NAP,17.16,Fabrication de produits divers de la chimie minérale
NAP,17.17,Fabrication d'engrais azotés et autres produits azotés
NAP,17.18,Fabrication d'engrais phosphatés
NAP,17.19,Fabrication d'autres engrais
NAP,17.21,Chimie organique de synthèse
NAP,17.22,Fabrication de matières colorantes de synthèse
NAP,17.23,Traitement chimique des corps gras notamment stéarinerie et glycérinerie ; fabrication de produits de base pour détergents
NAP,17.24,Fabrication de produits de base pour la pharmacie
NAP,17.25,"Fabrication de produits auxiliaires pour les industries textiles, du cuir et du caoutchouc, transformation de matières animales et végétales"
NAP,17.26,Fabrication et distillation de goudrons
NAP,17.27,Fabrication de matières plastiques
NAP,17.28,Fabrication de caoutchouc synthétique et autres élastomères
NAP,17.29,"Fabrication d'huiles essentielles, d'arômes naturels et synthétiques"
NAP,43.01,Production de fibres discontinues et de fils continus artificiels
NAP,43.02,Production de fibres discontinues et de fils continus synthétiques
NAP,20.01,Fonderie de métaux ferreux
NAP,20.02,Fonderie de métaux non ferreux
NAP,21.01,"Forge, estampage, matriçage"
NAP,21.02,"Découpage, emboutissage"
NAP,21.03,Traitement et revêtement des métaux
NAP,21.04,Décolletage
NAP,21.05,"Boulonnerie, visserie"
NAP,21.06,Construction métallique
NAP,21.07,Menuiserie métallique de bâtiment
NAP,21.08,"Mécanique générale, fabrication de moules et modèles"
NAP,21.09,"Fabrication d'outillage à main, d'outillage électroportatif, d'outillage agricole"
NAP,21.10,Fabrication de ressorts
NAP,21.11,Fabrication de quincaillerie
NAP,21.12,"Ferblanterie, fabrication d'articles de ménage, de coutellerie"
NAP,21.13,Fabrication de mobilier métallique
NAP,21.14,"Fabrication de fûts et tonnelets métalliques, de boîtes et emballages métalliques fabrication de conditionnements métalliques"
NAP,21.15,Fabrication de petits articles métalliques
NAP,21.16,"Frittage des métaux, fabrication d'aimants permanents"
NAP,21.17,"Fabrication d'armes de chasse, de tir, de défense"
NAP,50.01,Fabrication de pâtes à papier
NAP,50.02,Fabrication de papiers et de cartons
NAP,50.03,Fabrication d'articles de papeterie
NAP,50.04,Transformation du papier
NAP,50.06,Fabrication de carton ondulé et de produits en carton ondulé
NAP,50.07,Fabrication de cartonnages
NAP,52.01,Fabrication de pneumatiques et chambres à air
NAP,52.02,Rechapage et réparation industrielle de pneumatiques
NAP,52.03,Fabrication d'ouvrages en caoutchouc
NAP,52.04,Fabrication d'ouvrages en amiante
NAP,53.01,"Fabrication de mélanges, plaques, feuilles, films, tubes, tuyaux et profilés"
NAP,53.02,Fabrication de pièces diverses pour l'industrie
NAP,53.03,Fabrication d'emballages en matières plastiques
NAP,53.04,Fabrication d'éléments pour le bâtiment
NAP,53.05,Fabrication de produits de consommation divers
NAP,53.06,Fabrication de pellicules cellulosiques
NAP,22.01,Fabrication de tracteurs agricoles
NAP,22.02,Fabrication d'autre matériel agricole
NAP,23.01,Fabrication de machines-outils à métaux
NAP,23.02,Fabrication de machines à bois
NAP,23.03,"Fabrication d'outillage, outils pour machines"
NAP,23.04,Fabrication d'engrenages et organes de transmission
NAP,23.05,Fabrication de matériel de soudage
NAP,24.01,Robinetterie
NAP,24.02,Fabrication et installation de fours
NAP,24.03,"Fabrication et installation de matériel aéraulique, thermique et frigorifique"
